序号,岗位名称,是否AI岗位,学历,工作经验,城市,城市等级,公司规模,月薪,岗位职责
1,新媒体运营经理,否,博士,10年以上,重庆,新一线城市,500-2000人,22200,分析运营数据，优化内容方向和投放策略；制定新媒体矩阵整体运营策略和年度内容规划；统筹跨部门协作，推动品牌传播项目落地；带领运营团队完成各平台粉丝增长与互动目标
2,新媒体运营总监,否,本科,1年以下,广州,一线城市,50-150人,5200,制定公司新媒体战略方向及中长期发展规划；代表公司参与行业峰会，维护媒体关系和品牌声誉；统筹品牌全域新媒体矩阵，把控内容调性与传播节奏；推动新媒体与传统业务融合，探索商业变现路径
3,新媒体运营经理,否,大专,3-5年,北京,一线城市,2000人以上,6100,分析运营数据，优化内容方向和投放策略；管理运营预算，控制投入产出比(ROI)；研究竞品动态和行业趋势，调整运营打法；统筹跨部门协作，推动品牌传播项目落地；制定新媒体矩阵整体运营策略和年度内容规划
4,大模型提示词运营,是,博士,5-10年,成都,新一线城市,150-500人,23400,针对不同业务场景设计并优化大模型提示词策略；编写Prompt工程规范文档，培训团队成员使用AI工具；搭建和维护企业的提示词（Prompt）模板库；建立Prompt版本管理和A/B测试机制，持续迭代最优方案
5,大模型提示词运营,是,大专,3-5年,成都,新一线城市,2000人以上,5900,针对不同业务场景设计并优化大模型提示词策略；探索CoT/ToT等提示工程技术提升复杂任务效果；编写Prompt工程规范文档，培训团队成员使用AI工具；测试不同大模型（GPT/Claude/文心/通义）的内容产出质量
6,直播运营,否,硕士,1-3年,昆明,二线城市,2000人以上,8100,分析竞品直播间打法，迭代直播话术和节奏；策划直播主题和脚本，协调主播和商品资源；管理直播投流（千川/聚星），优化ROI；维护粉丝群，提升复购率和用户粘性；监控直播数据（在线人数/互动率/GMV）实时调整策略
7,直播运营,否,大专,1-3年,宜宾,三线城市,150-500人,1500,负责直播间的日常运营和排期管理；维护粉丝群，提升复购率和用户粘性；监控直播数据（在线人数/互动率/GMV）实时调整策略；管理直播投流（千川/聚星），优化ROI
8,新媒体运营专员,否,本科,3-5年,上海,一线城市,50-150人,8800,协助策划线上活动，提升粉丝活跃度和粘性；监测运营数据（阅读量、粉丝增长、互动率），输出周报；回复用户评论和私信，维护品牌形象；撰写新媒体文案，策划选题并执行内容发布；负责微信公众号、微博等平台的日常内容更新与维护
9,AI短视频运营,是,本科,1年以下,成都,新一线城市,50-150人,8800,运用AI分析短视频平台算法，优化发布时间和内容策略；通过AI数字人技术打造24小时直播/短视频产能；利用AI工具（剪映AI/Sora/可灵）自动生成短视频素材；使用AI工具进行批量视频剪辑、字幕生成和配音
10,新媒体运营总监,否,本科,1-3年,杭州,一线城市,150-500人,6100,推动新媒体与传统业务融合，探索商业变现路径；建立数据驱动的运营体系，对核心KPI负责；统筹品牌全域新媒体矩阵，把控内容调性与传播节奏；搭建并管理新媒体运营团队（10-50人）
11,新媒体运营总监,否,本科,3-5年,杭州,一线城市,500-2000人,9100,代表公司参与行业峰会，维护媒体关系和品牌声誉；搭建并管理新媒体运营团队（10-50人）；统筹品牌全域新媒体矩阵，把控内容调性与传播节奏
12,大模型提示词运营,是,硕士,3-5年,福州,二线城市,2000人以上,15400,编写Prompt工程规范文档，培训团队成员使用AI工具；探索CoT/ToT等提示工程技术提升复杂任务效果；搭建和维护企业的提示词（Prompt）模板库；建立Prompt版本管理和A/B测试机制，持续迭代最优方案
13,AI数据分析运营,是,本科,3-5年,深圳,一线城市,50-150人,16000,开发AI驱动的自动化数据看板和预警系统；利用AI进行竞品数据采集和分析，输出竞争情报；运用大模型进行非结构化运营数据（评论/反馈）的语义分析
14,大模型提示词运营,是,本科,3-5年,北京,一线城市,500-2000人,16800,搭建和维护企业的提示词（Prompt）模板库；针对不同业务场景设计并优化大模型提示词策略；编写Prompt工程规范文档，培训团队成员使用AI工具；测试不同大模型（GPT/Claude/文心/通义）的内容产出质量
15,智能投放运营,是,本科,1-3年,宜宾,三线城市,2000人以上,4600,搭建基于机器学习的智能出价和预算分配模型；监控AI投放ROI，持续优化模型参数和投放策略；探索AI在跨平台投放归因分析和预算最优分配中的应用；利用AI进行投放素材的智能生成和动态创意优化(DCO)；通过AI分析投放数据，自动调整人群定向和投放时段
16,AI数据分析运营,是,硕士,5-10年,重庆,新一线城市,150-500人,20700,为运营团队提供AI数据洞察，驱动精细化运营决策；搭建基于AI的用户行为分析和预测模型；通过机器学习预测粉丝增长趋势和内容爆款概率；运用大模型进行非结构化运营数据（评论/反馈）的语义分析
17,短视频运营,否,本科,1-3年,深圳,一线城市,150-500人,9200,策划短视频内容选题，撰写分镜脚本；分析短视频数据（完播率、点赞、涨粉）优化内容；跟进拍摄和后期剪辑，把控成片质量
18,内容运营,否,大专,1-3年,厦门,二线城市,2000人以上,3800,分析内容数据（阅读量、完读率、转发率）持续迭代；建立内容素材库和分类标签体系；挖掘用户内容偏好，产出针对性内容策略
19,大模型提示词运营,是,大专,1-3年,北京,一线城市,500-2000人,11900,探索CoT/ToT等提示工程技术提升复杂任务效果；针对不同业务场景设计并优化大模型提示词策略；搭建和维护企业的提示词（Prompt）模板库；测试不同大模型（GPT/Claude/文心/通义）的内容产出质量；建立Prompt版本管理和A/B测试机制，持续迭代最优方案
20,新媒体运营总监,否,本科,3-5年,武汉,新一线城市,500-2000人,8300,推动新媒体与传统业务融合，探索商业变现路径；代表公司参与行业峰会，维护媒体关系和品牌声誉；统筹品牌全域新媒体矩阵，把控内容调性与传播节奏；建立数据驱动的运营体系，对核心KPI负责
21,新媒体运营专员,否,大专,1年以下,福州,二线城市,150-500人,2100,协助策划线上活动，提升粉丝活跃度和粘性；负责微信公众号、微博等平台的日常内容更新与维护；监测运营数据（阅读量、粉丝增长、互动率），输出周报；回复用户评论和私信，维护品牌形象；跟踪热点话题，快速产出相关内容提升曝光
22,智能投放运营,是,硕士,5-10年,郑州,新一线城市,150-500人,14800,监控AI投放ROI，持续优化模型参数和投放策略；利用AI进行投放素材的智能生成和动态创意优化(DCO)；通过AI分析投放数据，自动调整人群定向和投放时段；运用AI投放工具（腾讯广告AI/巨量引擎AI）优化广告策略
23,新媒体运营专员,否,本科,10年以上,宜宾,三线城市,500-2000人,4400,回复用户评论和私信，维护品牌形象；负责微信公众号、微博等平台的日常内容更新与维护；跟踪热点话题，快速产出相关内容提升曝光
24,品牌运营,否,本科,1年以下,成都,新一线城市,500-2000人,5000,制定品牌在新媒体渠道的传播策略和调性定位；监测品牌舆情和口碑，及时进行声誉管理；协调外部媒体和KOL资源，扩大品牌声量
25,新媒体运营总监,否,本科,1年以下,苏州,新一线城市,15-50人,4700,制定公司新媒体战略方向及中长期发展规划；搭建并管理新媒体运营团队（10-50人）；代表公司参与行业峰会，维护媒体关系和品牌声誉；统筹品牌全域新媒体矩阵，把控内容调性与传播节奏
26,直播运营,否,大专,5-10年,北京,一线城市,500-2000人,7100,管理直播投流（千川/聚星），优化ROI；策划直播主题和脚本，协调主播和商品资源；监控直播数据（在线人数/互动率/GMV）实时调整策略；分析竞品直播间打法，迭代直播话术和节奏
27,大模型提示词运营,是,硕士,3-5年,北京,一线城市,50-150人,23200,测试不同大模型（GPT/Claude/文心/通义）的内容产出质量；探索CoT/ToT等提示工程技术提升复杂任务效果；针对不同业务场景设计并优化大模型提示词策略；建立Prompt版本管理和A/B测试机制，持续迭代最优方案；编写Prompt工程规范文档，培训团队成员使用AI工具
28,新媒体运营总监,否,本科,5-10年,襄阳,三线城市,150-500人,3200,推动新媒体与传统业务融合，探索商业变现路径；代表公司参与行业峰会，维护媒体关系和品牌声誉；制定公司新媒体战略方向及中长期发展规划
29,新媒体运营经理,否,大专,1-3年,武汉,新一线城市,500-2000人,4100,管理运营预算，控制投入产出比(ROI)；制定新媒体矩阵整体运营策略和年度内容规划；统筹跨部门协作，推动品牌传播项目落地；分析运营数据，优化内容方向和投放策略；研究竞品动态和行业趋势，调整运营打法
30,社群运营,否,大专,1年以下,上海,一线城市,2000人以上,6300,处理群内投诉和负面情绪，维护社群氛围；培养社群KOC，激励用户自发裂变拉新；分析社群数据（入群率、活跃度、转化率、流失率）；制定社群SOP（群规/入群欢迎语/日常互动流程）；搭建并管理微信社群/企业微信群（拉新→活跃→转化）
31,内容运营,否,硕士,10年以上,成都,新一线城市,150-500人,11400,分析内容数据（阅读量、完读率、转发率）持续迭代；建立内容素材库和分类标签体系；管理内容日历，确保各渠道内容按时发布；挖掘用户内容偏好，产出针对性内容策略；策划并撰写高质量原创内容（图文/视频脚本/专题）
32,品牌运营,否,大专,3-5年,北京,一线城市,2000人以上,7600,协调外部媒体和KOL资源，扩大品牌声量；分析品牌健康度指标（认知度/好感度/搜索指数）；监测品牌舆情和口碑，及时进行声誉管理；策划品牌营销事件（联名/跨界/节日营销）；制定品牌在新媒体渠道的传播策略和调性定位
33,内容运营,否,本科,1-3年,武汉,新一线城市,500-2000人,6000,分析内容数据（阅读量、完读率、转发率）持续迭代；建立内容素材库和分类标签体系；管理内容日历，确保各渠道内容按时发布；挖掘用户内容偏好，产出针对性内容策略；策划并撰写高质量原创内容（图文/视频脚本/专题）
34,AI数据分析运营,是,大专,1-3年,成都,新一线城市,15-50人,5100,利用AI进行竞品数据采集和分析，输出竞争情报；为运营团队提供AI数据洞察，驱动精细化运营决策；通过机器学习预测粉丝增长趋势和内容爆款概率；开发AI驱动的自动化数据看板和预警系统；运用大模型进行非结构化运营数据（评论/反馈）的语义分析
35,新媒体运营专员,否,本科,3-5年,深圳,一线城市,15-50人,7900,跟踪热点话题，快速产出相关内容提升曝光；负责微信公众号、微博等平台的日常内容更新与维护；撰写新媒体文案，策划选题并执行内容发布
36,新媒体运营经理,否,本科,1年以下,南昌,二线城市,150-500人,3800,统筹跨部门协作，推动品牌传播项目落地；制定新媒体矩阵整体运营策略和年度内容规划；研究竞品动态和行业趋势，调整运营打法；带领运营团队完成各平台粉丝增长与互动目标
37,AIGC内容运营,是,本科,3-5年,宜宾,三线城市,500-2000人,3900,全面负责AIGC工具选型（文生图/文生视频/文生音乐）；制定AIGC内容生产SOP和质量审核流程；跟踪AIGC技术前沿（Sora/Veo/可灵）并评估引入可行性；训练和调优Stable Diffusion/Midjourney等模型的提示词库
38,智能投放运营,是,硕士,1-3年,西安,新一线城市,500-2000人,14100,通过AI分析投放数据，自动调整人群定向和投放时段；利用AI进行投放素材的智能生成和动态创意优化(DCO)；运用AI投放工具（腾讯广告AI/巨量引擎AI）优化广告策略；探索AI在跨平台投放归因分析和预算最优分配中的应用
39,AI新媒体运营,是,本科,3-5年,长沙,新一线城市,500-2000人,8100,运用AI工具（ChatGPT/Claude/文心一言）批量生成新媒体内容；搭建AI自动化运营流程（AI客服/AI内容审核/AI标签）；利用AI分析用户画像和行为数据，制定精准运营策略；训练和调优AI模型以适应垂直领域的运营需求；探索AI+运营的创新场景，提升团队整体效率
40,用户运营,否,本科,1年以下,广州,一线城市,50-150人,5000,设计用户增长策略，提升拉新转化率和留存率；通过用户调研和数据分析洞察用户需求；维护核心用户社群，培养KOC并引导UGC产出
